2022-04-20 14:14:17,011 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:14:50,169 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:14:50,169 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:14:50,169 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:14:50,169 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:15:15,936 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:15:15,936 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:15:15,936 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:15:15,936 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:49:43,111 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:49:43,111 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:49:43,111 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:51:08,077 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:51:08,077 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:51:08,077 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:52:46,424 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:52:46,424 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:52:46,424 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:53:45,472 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:53:45,472 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:53:45,472 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:54:52,337 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:54:52,337 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:54:52,337 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:59:51,256 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
