2022-04-12 13:33:22,893 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:45:00,712 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:45:01,418 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:45:01,418 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:47:19,050 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:47:20,385 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:47:20,385 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:58:54,499 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:58:55,165 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 13:58:55,165 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:00:10,795 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:00:11,389 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:00:11,389 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:05:13,194 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:05:13,788 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:05:13,788 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:06:09,494 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:06:10,241 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:06:10,241 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:14:16,169 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:14:16,749 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 14:14:16,749 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:14:02,581 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:14:03,331 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:14:03,331 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:16:09,784 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:16:10,387 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:16:10,387 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:36:08,353 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:36:33,042 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:36:33,748 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 16:36:33,748 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 18:39:07,353 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 18:39:08,713 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
